タイムスタンプ,メールアドレス,規約への同意,共同利用者の学籍番号,共同利用者の氏名,共同利用者の学生証写真
2026-04-12 11:18:00,kobayashiyumiko@example.com,利用規約に同意する,2153120,清水 充,accept
2026-04-12 12:54:42,momoko73@example.org,利用規約に同意する,1593531,福田 涼平,accept
2026-04-12 13:12:06,kmatsuda@example.net,利用規約に同意する,1543456,田中 直人,accept
2026-04-12 15:17:16,otakyosuke@example.com,利用規約に同意する,4252565,中村 翔太,accept
2026-04-12 15:44:28,nishimurakumiko@example.com,利用規約に同意する,8594373,林 亮介,accept
2026-04-12 15:48:36,tomoya89@example.org,利用規約に同意する,4610358,山田 幹,accept
2026-04-12 15:53:56,tomoya89@example.org,利用規約に同意する,4610358,山田 幹,accept
2026-04-12 15:58:31,chiyo24@example.org,利用規約に同意する,8209807,山口 春香,accept
2026-04-12 16:43:27,ikedamiki@example.org,利用規約に同意する,8452873,岡田 桃子,accept
2026-04-12 18:47:03,esakamoto@example.com,利用規約に同意する,1580079,小林 聡太郎,accept
2026-04-12 18:48:00,xwatanabe@example.com,利用規約に同意する,4337409,伊藤 くみ子,accept
2026-04-12 18:53:43,suzukiyumiko@example.net,利用規約に同意する,8640760,山本 春香,accept
2026-04-12 19:14:11,ryosuke44@example.net,利用規約に同意する,4134387,加藤 くみ子,accept
2026-04-12 20:13:38,satomanabu@example.com,利用規約に同意する,1518289,山下 治,accept
2026-04-12 20:23:34,satomi34@example.org,利用規約に同意する,8317361,高橋 陽子,accept
2026-04-12 21:45:55,tomoya89@example.org,利用規約に同意する,4610358,山田 幹,accept
2026-04-12 23:39:45,esato@example.org,利用規約に同意する,1593298,後藤 くみ子,accept
2026-04-13 00:33:59,yuta97@example.com,利用規約に同意する,4473005,斎藤 洋介,accept
2026-04-13 00:59:23,dsasaki@example.org,利用規約に同意する,1577814,藤原 明美,accept
2026-04-13 01:04:09,naoko13@example.net,利用規約に同意する,8606428,清水 花子,denied
2026-04-13 02:38:04,tsubasamiura@example.net,利用規約に同意する,8500074,西村 裕樹,accept
2026-04-13 04:14:29,ryoheimurakami@example.com,利用規約に同意する,8280623,福田 花子,accept
2026-04-13 04:50:42,maaya48@example.net,利用規約に同意する,1554596,田中 英樹,accept
2026-04-13 05:43:30,okato@example.com,利用規約に同意する,1524586,高橋 学,accept
2026-04-13 08:06:14,ckobayashi@example.net,利用規約に同意する,4449840,山口 直樹,accept
2026-04-13 09:17:42,takahashitaro@example.org,利用規約に同意する,8234741,渡辺 加奈,accept
2026-04-13 09:24:13,hfukuda@example.com,利用規約に同意する,4652757,佐藤 京助,accept
2026-04-13 09:43:07,hashimotohiroshi@example.com,利用規約に同意する,8428124,佐藤 翔太,accept
2026-04-13 10:59:31,naokokato@example.com,利用規約に同意する,4271058,池田 美加子,accept
2026-04-13 11:13:04,akeminakajima@example.com,利用規約に同意する,4420730,藤原 美加子,accept
2026-04-13 12:21:05,osato@example.org,利用規約に同意する,8114663,山田 裕美子,accept
2026-04-13 12:33:56,bishikawa@example.net,利用規約に同意する,1536569,斎藤 修平,accept
2026-04-13 12:45:17,tarosuzuki@example.com,利用規約に同意する,1599972,森 淳,accept
2026-04-13 13:59:38,yutayoshida@example.net,利用規約に同意する,4188452,前田 桃子,accept
2026-04-13 14:11:05,mikakotakahashi@example.com,利用規約に同意する,8131194,渡辺 淳,accept
2026-04-13 14:17:19,ykato@example.com,利用規約に同意する,1595768,池田 洋介,accept
2026-04-13 14:19:36,kaori49@example.com,利用規約に同意する,4461727,遠藤 亮介,accept
2026-04-13 16:04:13,kumiko12@example.net,利用規約に同意する,1565323,松本 あすか,accept
2026-04-13 16:54:49,ryohei66@example.org,利用規約に同意する,1518661,後藤 真綾,accept
2026-04-13 17:12:24,hsasaki@example.com,利用規約に同意する,4659510,斎藤 直子,accept
2026-04-13 21:16:42,fnakamura@example.net,利用規約に同意する,8197894,田中 晃,accept
2026-04-13 22:11:56,kaorimiura@example.net,利用規約に同意する,4418634,小林 英樹,accept
2026-04-13 23:13:00,ttakahashi@example.org,利用規約に同意する,4508079,松本 淳,denied
2026-04-13 23:20:21,hidekinakamura@example.org,利用規約に同意する,4297880,山本 零,denied
2026-04-13 23:31:15,nhayashi@example.com,利用規約に同意する,8661680,池田 春香,accept
